FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
SEMANA Nº45   PROVISIONAL;;;;;;;;;;;;
;16.00-17.00h;Montaje Orquesta;;;16.00-19.00h;E.Piano CARMEN;17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MANDARÍN / BARBAZUL;;;;;
;16.00-18.30h;Preparación Función;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.30h;EL MANDARÍN MARAVILLOSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               EL CASTILLO DE BARBAZUL    05/05;;;;;;;;;;
Nov. 2025;;;;;;;;;;;;
;a 00.00h;Cambio a EVENTO;;;;;;;;;;
Martes;01.00-08.00h;Cambio a EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               CARMEN;;SALA DE ORQUESTA;;;
11;"EVENTO GALA FUNDACIÓN SESÉ
ESCENARIO COMPLETO";;;;;;;;XX.XX-XX.XXh;EVENTO EFE;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;16.00-19.00h;E.Piano CARMEN;;;SALA DE CORO;;;
;;;;ACTO INAEM;;;;;11.00-14.00h;E. Musical Coro;;
Nov. 2025;;;;;;;;;16.00-19.00h;E. Musical Coro;;
;23.15-23.30h;Desmontaje EVENTO;;;;;;;;;;
Miércoles;00.00-03.00h;Desmontaje EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CARMEN;;SALA DE ORQUESTA;;;
12;08.30-10.00h;Desmontaje MANDARÍN / BARBAZUL;;Examen sección SASTRERÍA  ;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;08.00-14.00h;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Desmontaje MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;11.00-14.00h;E. Musical Coro;;
;15.00-18.30h;Montaje evento FUDEN;;;;;;;16.00-19.00h;E. Musical Coro;;
;18.30-19.00h;PAUSA TECNICA;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;19.30-22.00h;Montaje evento FUDEN;;;;;;;;;;
Nov. 2025;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Jueves;;;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               CARMEN;;SALA DE ORQUESTA;;;
13;EVENTO FUDEN;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;16.00-19.00h;E.Piano CARMEN;;;SALA DE CORO;;;
;;;;;;;;;11.00-14.00h;E. Musical Coro;;
Nov. 2025;;;;;;;;;16.00-19.00h;E. Musical Coro;;
;23.15-23.30h;Desmontaje EVENTO;;;;;;;;;;
Viernes;00.00-02.00h;Desmontaje EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               CARMEN;;SALA DE ORQUESTA;;;
14;08.30-10.00h;Desmontaje MANDARÍN / BARBAZUL;;;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Desmontaje MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;11.00-14.00h;E. Musical Coro;;
;15.00-18.30h;Desmontaje MANDARÍN / BARBAZUL;;;;;;;16.00-19.00h;E. Musical Coro;;
;18.30-19.00h;PAUSA TECNICA;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;19.30-22.00h;Desmontaje MANDARÍN / BARBAZUL;;;;;;;;;;
;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Sábado;;;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;;;;;SALA DE ORQUESTA;;;
15;08.30-10.00h;Montaje Conchita;;;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.30-13.00h;Montaje Conchita;;;;;;;;;;
;XX.XX-XX.XXh;Llegada de musicos;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Preparación Ensayo + Limpieza;;;;;;;;;;
;XX.XX-XX.XXh;Afinacion Clave + Organo + Limpieza;;;;;;;;;;
;XX.XX-XX.XXh;Ensayo General                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ÓPERA EN CONCIERTO: FAIRY QUEEN;;;;;;;;;;
;;;;;;;;;;;;
;a 18.30h;Preparación Función + Limpieza;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.00h;ÓPERA EN CONCIERTO: FAIRY QUEEN 1/1    ;;;;;;;;;;
