FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
Jueves,00.00-07.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
12,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,09.00-21.00h,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          FUNDACIÓN BAREMBOIM-SAID,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-15.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ENEMIGO DEL PUEBLO   01/04,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Cambio a EVENTO,,,,,,,,,,
Feb. 2026   ,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
13,08.30-10.00h,Dossier Técnico ENEMIGO DEL PUEBLO,,,,,,,09.00-21.00h,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          FUNDACIÓN BAREMBOIM-SAID,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Dossier Técnico ENEMIGO DEL PUEBLO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ENEMIGO DEL PUEBLO   02/04,,,,,,,,,,
,,,,,,,,,,,,
,21.00-22.00h,Cambio a I MASNADIERI,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Cambio a I MASNADIERI,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,,
14,08.30-10.00h,Cambio a I MASNADIERI,,,,,,,09.00-15.00h,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          FUNDACIÓN BAREMBOIM-SAID,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a I MASNADIERI,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: I  MASNADIERI 2/2                                  Concha Acústica a confirmar   ,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
15,08.30-10.00h,Cambio a ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,17.00-18.00h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,ARIADNA Y BARBAZUL   05/06,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº08   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET	,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a evento,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
16,08.30-10.00h,Dossier Técnico ARIADNA Y BARBABL,,,,,,,,,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico ENEMIGO DEL PUEBLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
