FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº14   PROVISIONAL,,,,,,,,,,,,
,16.00-16.30h,Limpieza,,,,,,,,,,
,17.00-21.00h,E.Conjunto NOVIA VENDIDA (4),,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos NOVIA VENDIDA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Abr. 2026,22.30-23.15h,Ajustes Técnicos NOVIA VENDIDA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,RESERVADA                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
,08.30-10.00h,E.Luces NOVIA VENDIDA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces NOVIA VENDIDA,,,,,,,,,,
10,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo + Limpieza,,,,,,,,,,
,18.00h,E.Pregeneral La NOVIA VENDIDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,,,,,,,,,,
,,,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Abr. 2026,22.30-23.15h,Ajustes Técnicos NOVIA VENDIDA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
