FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº10   PROVISIONAL,,,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,16.00-18.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026,22.30-23.15h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,09.00 - 18.00h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,SALÓN DE BAILE,
19,08.30-10.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,20.00h,Flamenco Real 6        2/3
,08.00-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,Juan de Juan & La Lupi
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,16.00-18.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026,22.30-23.15h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         NOVIA VENDIDA,,SALA DE ORQUESTA,,SALÓN DE BAILE,
20,08.30-10.00h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,19.00h,Flamenco Real 6        3/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,21.00h,Juan de Juan & La Lupi
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
