FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº36   PROVISIONAL,,,,,,,,,,,,
11,08.30-10.00h,E. Luces OTELLO,,,,,,,RESERVA AGENCIA EFE EVENTO DESAYUNO INFORMATIVO,,10.00h,Encuentro con Dirección Artística: El Castillo de Barbazul &Carmen
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Antepiano OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano OTELLO                                   (A confirmar),RESERVADA OTELLO,,SALA DE ORQUESTA,,,
12,08.30-10.00h,E. Luces OTELLO,,,,,,,,,,
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,11.00h,RUEDA DE PRENSA,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,OTELLO,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,12.30-14.30h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,16.30-20.30h,E.Conjunto OTELLO (1),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos OTELLO,20.15h,ENFOQUES:,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,OTELLO,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano OTELLO                                   (A confirmar),RESERVADA OTELLO,,SALA DE ORQUESTA,,ANTEFOYER&FOYER,
13,08.30-10.00h,E. Luces OTELLO,,,,,,,,,09.00h,Montaje
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,19.30-23.30h,Desfile - SLOWFASHION ES MODA
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,13.00-15.00h,E. musical Coro,SALON FALLA & TERRAZA,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,20.30h,Cóctel VOCENTO
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-21.00h,E.Conjunto OTELLO (2),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano OTELLO                                   (A confirmar),,,SALA DE ORQUESTA,,SALÓN FALLA,
14,08.30-10.00h,E. Luces OTELLO,,,,,,,,,17.00h,Montaje EVENTO 
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,,CONSEJO DE AMIGOS
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Ajustes Técnicos OTELLO,,,,,,,,,,
,16.00-18.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº38   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes                               ,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,,
15,08.30-10.00h,E. Luces OTELLO,,,,,,,,,,
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,13.00-15.00h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-21.00h,E.Conjunto OTELLO (3),,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Ajustes Técnicos OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,SALÓN DE BAILE & FALLA,
16,08.30-10.00h,E. Luces OTELLO,,,,,,,14.00-15.00h,VISITA PATROCINADOR,08.30-18.30h,EVENTO REPSOL 
,08.30-14.30h,Montaje -16  MANDARÍN / BARBAZUL,,,,,,,,,222,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,22,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces OTELLO,,,,,,,14.00-15.00h,VISITA PATROCINADOR,SALÓN FALLA,
,14.30-15.00h,VISITA PATROCINADOR,,,,,,,,,14.00h,EVENTO CONSEJO DE AMIGOS
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,16.30-18.00h,Disponible FATR,,,,,,,,
,17.00-17.30h,Limpieza,,,,,,,,,,
