FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº40   PROVISIONAL,,,,,,,,,,,,
,a 23.30h,Cambio a ÓPERA EN CONCIERTO,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                      MANDARÍN / BARBAZUL,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,SALÓN FALLA,
4,08.30-10.00h,Cambio a Concha Acústica,,,,,,,,,22.15h,Cóctel de Divas
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,SALÓN CARLOS ,
,10.00-10.30h,EXPERIENCIA TURISMO,,,,,,,,,10.15-14.00h,Graduación Bircham International University 
,10.30-14.30h,Cambio a Concha Acústica,,,,,,,SALA DE CORO,,,
,12.00-14.30h,Ajustes iluminación ,,,,,,,18.30-19.30h,Vocalización Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,15.30-18.30h,E.Piano                                      MANDARÍN / BARBAZUL,,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: IRIS 1/2    ,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,CINE -1,
5,08.30-10.00h,Cambio a OTELLO,,,,,,,,,17.00h,DIRECCION ARTISTICA
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Cambio a OTELLO,,,,,,,17.00-18.00h,Vocalización Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,OTELLO    11/12  REP. A,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº41   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,07.00-08.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano MANDARÍN / BARBAZUL,08.00 - 17.30h                                                                 RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,SALÓN DE BAILE,
6,08.30-10.00h,Programación de luces & enmoquetado espacio,,,,,,,10.30-14.00h,Grupo OSM Yoshiko,20.30h,Flamenco Real 
,09.30-10.00h,Ajustes técnicos,,,,,,,,,,
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA técn - prever turnos,,,,,,,SALA DE CORO,,,
,10.00-11.00h,Ensayos,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,11.00-15.00h,Ensayo,,
,10.30-14.30h,Dossier Técnico OTELLO,,,,,,,18.30-19.30h,Vocalización Coro,SALA CUERDA 1,
,11.00-11.15h,Limpieza escenario,,,,,,,,,08.00-15.00h,Curso Historia de la Caracterización (RRHH)
,11.15h,Apertura de Puertas,,,,,,,,,,
,12.00h,Evento Premios FITUR 2025,,,,,,,,,,
,13.15h,Desmontaje & cambio a OTELLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,SALÓN FALLA,
,15.00-16.00h,Preparación Función,,,,,,,,,15.45-20.00h,TOYOTA ESPAÑA
,16.00-17.00h,Montaje Orquesta ,,,15.30-18.30h,E.Piano MANDARÍN / BARBAZUL,17.30 - 23.30h                                                                 RESERVADA                                                             OTELLO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,OTELLO    12/12  REP. B,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 00.00h,Desmontaje OTELLO,,,,,,,,,,
Martes,00.00-07.00h,Desmontaje OTELLO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,CINE - 1,
7,08.30-10.00h,Cambio a Concha Acústica,,,,,,,,,11.00-13.00h,Curso: formación de guías
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,SALA CUERDA 1,
,10.30-14.30h,Cambio a Concha Acústica,,,,,,,SALA DE CORO,,08.00-15.00h,Curso Historia de la Caracterización (RRHH)
,12.00-14.30h,Ajustes iluminación ,,,,,,,11.00-15.00h,Ensayo,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización Coro,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,15.00-19.00h ,E.Piano MANDARÍN / BARBAZUL,,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: IRIS 2/2    ,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miercoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,07.00-08.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,,
8,08.30-13.00h,Montaje técnico en escenario & control,,,,,,,10.30-14.00h,Grupo OSM Yoshiko,SALA CUERDA 1,
,10.00-10.25h,PAUSA TECNICA técnicos TR,,,,,,,16.00-19.00h,Grupo OSM Javier,08.00-15.00h,Curso Historia de la Caracterización (RRHH)
,11.00-13.00h,Montaje equipos & backline Artista,,,,,,,,,,
,13.00-15.00h,PAUSA PERSONAL EXTERNO,,,15.00-18.00h,E.Piano                                              MANDARÍN / BARBAZUL,,,SALA DE CORO,,,
,15.00-17.30h,Ajustes técnicos,14.00-22.00h, GRUPO PRISA RADIO,,,,,11.00-15.00h,Ensayo,,
,17.30-18.30h,Prueba de sonido - sólo banda,,RADIO,,,,,,,,
,18.30-19.00h,Prueba de sonido con Patti Smith,,,,,,,,,,
,19.00-20.00h,PAUSA de cena PERSONAL EXTERNO,,,,,,,,,,
,19.30-20.00h,Limpieza de escenario,,,,,,,,,,
,21.00-22.30h,CTO. PATTI SMITH AND HER BAND,,,,,,,,,,
Oct. 2025,22.30-01.00h,Desmontaje & carga de equipos Patti Smith,,,,,,,,,,
,a 23.30h,Cambio a EVENTO,,,,,,,,,,
Jueves,00.00-01.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,,
9,08.15h,Descarga & montaje de equipos de Cámara,10.00h,RUEDA DE PRENSA,,,,,11.00-14.00h,L.O.  BALLET BNE (1),SALA CUERDA 1,
,10.00-10.30h,PAUSA TÉCNICOS TR,,BNE,,,,,16.00-19.00h,L.O.  BALLET BNE (2),08.00-15.00h,Curso Historia de la Caracterización (RRHH)
,11.30-14.00h,Montaje equpos & backline Artista,,,,,,,19.00-22.00h,Grupo OSM Jaume,,
,14.00-16.00h,PAUSA PERSONAL EXTERNO,,,,,,,,,SALON DE BAILE,
,14.30-15.00h,PAUSA TÉCNICOS TR,,,,,,,,,08.00h,Montaje 
,14.30-15.00h,EXPERIENCIA TURISMO,,,,,,,,,19.00-23.00h,ACTO FUNDACIÓN INTEGRALIA DKW
,15.00-16.00h,Afianción de Piano,,,,,,,,,,
,16.00-17.30h,Prueba de líneas,,,,,,,,,,
,17.30-20.00h,Prueba de sonido con Estrella,,,,,,,,,,
,19.00-20.30h,PAUSA de cena PERSONAL EXTERNO,,,,,,,,,,
,20.00-20.15h,Limpieza escenario,,,,,,,,,,
,21.00-22.30h,CTO. ESTRELLA MORENTE,,,,,,,,,,
Oct. 2025,22.30-01.00h,Desmontaje & carga de los equipos de Estrella,,,,,,,,,,
,a 23.30h,Cambio a EVENTO,,,,,,,,,,
Viernes,00.00-01.00h,Cambio a EVENTO,,,,,,,,,,
